id,name,type,address,phone,email,source
10121,Green Lodge 1492,Lodge,"537, Main Rd, Bopodi, Pune - 411045",7327687155,greenlodge149282@yahoo.com,synthetic
19056,Metro House 292,Restaurant,"272, Station Road, Kothrud, Pune - 411004",7437595037,metrohouse29243@business.com,synthetic
3650,Phoenix Hotel 1009,Hotel,"165, MG Road, Bibwewadi, Pune - 411045",8093974980,,synthetic
3942,Phoenix Corner 106,Restaurant,"486, Lane No. 4, Kothrud, Pune - 411001",7170871650,phoenixcorner10615@info.com,synthetic
17881,Lotus Corner 8,Restaurant,"191, Lane No. 13, Camp, Pune - 411045",9125291885,lotuscorner817@outlook.com,synthetic
16676,The Hotel 389,Hotel,"137, MG Road, Bibwewadi, Pune - 411004",9628407664,,synthetic
12631,Metro Spice 187,Restaurant,"49, Lane No. 17, Sinhagad Road, Pune - 411004",9924767122,metrospice18757@yahoo.com,synthetic
11444,Comfort Taste 220,Restaurant,"790, Central Street, Sahakarnagar, Pune - 411018",6292992847,comforttaste22096@outlook.com,synthetic
12158,Metro Hotel 219,Hotel,"378, MG Road, Dhanori, Pune - 411029",7479989339,,synthetic
13836,Elite Hotel 1733,Hotel,"762, Main Rd, Bopodi, Pune - 411045",6674111071,,synthetic
3435,Galaxy Chow 42,Restaurant,"639, Central Street, Kharadi, Pune - 411001",8644772911,galaxychow4237@outlook.com,synthetic
18740,City Hotel 1700,Hotel,"304, Station Road, Narhe, Pune - 411001",6118634100,cityhotel170029@outlook.com,synthetic
17408,Ommart Hotel 410,Hotel,"220, Central Street, Pashan, Pune - 411001",9246814441,,synthetic
15441,Sunrise Lodge 1178,Lodge,"320, Central Street, Wagholi, Pune - 411029",6577777386,,synthetic
10407,Galaxy Garden 270,Restaurant,"716, Central Street, Deccan Gymkhana, Pune - 411018",9704304748,galaxygarden27017@gmail.com,synthetic
6518,City Corner 299,Restaurant,"78, Main Rd, Deccan Gymkhana, Pune - 411014",8534120741,,synthetic
972,Saffron Room 44,Restaurant,"449, Market Lane, Undri, Pune - 411014",8720388621,,synthetic
16488,The Lodge 769,Lodge,"372, Station Road, Hadapsar, Pune - 411029",9850048993,,synthetic
19731,Urban Hotel 715,Hotel,"91, Station Road, Kalyani Nagar, Pune - 411004",8985831090,urbanhotel71544@outlook.com,synthetic
13138,Citi Hotel 1049,Hotel,"489, Market Lane, Dhanori, Pune - 411029",7580274640,citihotel104922@outlook.com,synthetic
3670,Citi Hotel 1388,Hotel,"543, Market Lane, Bavdhan, Pune - 411014",8234226410,citihotel138882@outlook.com,synthetic
15984,Sunrise Hotel 1172,Hotel,"365, Station Road, Wakad, Pune - 411014",8392013027,,synthetic
4059,Citi Corner 117,Restaurant,"826, Lane No. 14, Wagholi, Pune - 411018",7364629690,citicorner11792@outlook.com,synthetic
14977,City Hotel 1600,Hotel,"709, Central Street, Pimple Saudagar, Pune - 411018",6922099653,,synthetic
15699,Royal Express 227,Restaurant,"132, MG Road, FC Road, Pune - 411001",8230598930,,synthetic
13830,Elite Grill 70,Restaurant,"732, Main Rd, Bibwewadi, Pune - 411004",6052642877,,synthetic
13420,Metro Corner 27,Restaurant,"476, Main Rd, Aundh, Pune - 411018",9479677955,,synthetic
961,Ommart Garden 168,Restaurant,"942, Lane No. 13, Pimple Saudagar, Pune - 411004",6989396987,ommartgarden16865@info.com,synthetic
17745,Sunrise Hotel 438,Hotel,"547, Market Lane, Koregaon Park, Pune - 411014",8812500341,sunrisehotel4385@outlook.com,synthetic
9865,Hotel Garden 64,Restaurant,"342, Market Lane, Undri, Pune - 411018",8660832467,hotelgarden6471@outlook.com,synthetic
11264,Ommart Hotel 826,Hotel,"449, Station Road, Model Colony, Pune - 411045",8127927975,ommarthotel82614@business.com,synthetic
15783,Comfort Hotel 1174,Hotel,"423, Station Road, Narhe, Pune - 411014",6356903646,,synthetic
17197,Palace Hotel 1779,Hotel,"734, Market Lane, Shivaji Nagar, Pune - 411001",8424496904,palacehotel177938@business.com,synthetic
7555,Lotus Hotel 1593,Hotel,"789, Main Rd, Nagar Road, Pune - 411014",9834213337,lotushotel159371@info.com,synthetic
10499,Citi Taste 22,Restaurant,"195, Lane No. 4, Koregaon Park, Pune - 411045",7752491142,cititaste2274@outlook.com,synthetic
17060,Hotel Taste 201,Restaurant,"412, Station Road, Hinjewadi, Pune - 411029",9324334380,hoteltaste20126@business.com,synthetic
17929,Urban Hotel 1028,Hotel,"990, Main Rd, Bibwewadi, Pune - 411045",7311340031,,synthetic
7086,Palace Hotel 301,Hotel,"636, Market Lane, Deccan Gymkhana, Pune - 411014",6582514341,,synthetic
14754,Metro Hotel 1125,Hotel,"252, Lane No. 16, Pimple Saudagar, Pune - 411045",9190720080,,synthetic
4520,Sunrise Hotel 1135,Hotel,"577, Station Road, Dhanori, Pune - 411029",8091003667,,synthetic
3025,Citi Bistro 166,Restaurant,"563, Lane No. 5, Kondhwa, Pune - 411001",9820780988,,synthetic
12122,Comfort Table 254,Restaurant,"187, Lane No. 10, Bopodi, Pune - 411029",6057981442,comforttable25490@info.com,synthetic
18495,The Hotel 1485,Hotel,"865, MG Road, Ambegaon, Pune - 411014",6397312685,thehotel148538@info.com,synthetic
5484,Lotus Hotel 643,Hotel,"434, Lane No. 17, Chinchwad, Pune - 411045",8337920638,lotushotel64351@business.com,synthetic
1420,Comfort Cafe 185,Restaurant,"611, MG Road, Deccan Gymkhana, Pune - 411018",8007342939,comfortcafe18560@info.com,synthetic
6210,Palace Hotel 1182,Hotel,"902, Lane No. 9, Ambegaon, Pune - 411004",8798877909,,synthetic
10743,Metro Hotel 570,Hotel,"741, Main Rd, Erandwane, Pune - 411028",7931637855,metrohotel57075@business.com,synthetic
16144,Lotus Hotel 332,Hotel,"66, Lane No. 19, Talawade, Pune - 411029",8589941426,,synthetic
17618,The Hotel 1797,Hotel,"640, Station Road, Sahakarnagar, Pune - 411028",9739062914,,synthetic
14569,Lotus Lodge 1891,Lodge,"591, Market Lane, Viman Nagar, Pune - 411028",8815902000,,synthetic
981,Royal Street 262,Restaurant,"806, Central Street, FC Road, Pune - 411004",8354695100,royalstreet26299@gmail.com,synthetic
2784,Saffron Kitchen 142,Restaurant,"273, Station Road, Aundh, Pune - 411045",8930646143,saffronkitchen14226@business.com,synthetic
7714,Galaxy Tadka 193,Restaurant,"787, MG Road, Magarpatta, Pune - 411045",6177104205,galaxytadka19325@yahoo.com,synthetic
11519,Grand Lodge 1703,Lodge,"450, Central Street, Wagholi, Pune - 411014",6714048117,,synthetic
8601,Hotel Kitchen 292,Restaurant,"819, Central Street, Kalyani Nagar, Pune - 411045",7737933872,hotelkitchen29279@gmail.com,synthetic
11641,Citi Platter 171,Restaurant,"467, Station Road, Nagar Road, Pune - 411004",9488394044,citiplatter17145@business.com,synthetic
18831,Elite Lodge 866,Lodge,"833, Lane No. 20, Kothrud, Pune - 411028",9797102010,elitelodge86696@info.com,synthetic
12563,Saffron Delights 180,Restaurant,"44, Lane No. 9, Sahakarnagar, Pune - 411029",9881306130,,synthetic
12752,The Hotel 843,Hotel,"358, MG Road, Ambegaon, Pune - 411028",9642810130,thehotel84366@info.com,synthetic
6385,Urban Fusion 83,Restaurant,"191, MG Road, FC Road, Pune - 411001",8961251031,urbanfusion834@business.com,synthetic
4808,Lotus Lodge 1441,Lodge,"462, Station Road, Sahakarnagar, Pune - 411014",9816360209,,synthetic
6196,Lotus Kitchen 129,Restaurant,"608, Central Street, Baner, Pune - 411004",6445370752,lotuskitchen12969@outlook.com,synthetic
10649,Green Corner 210,Restaurant,"565, Main Rd, Undri, Pune - 411014",9838171717,greencorner21054@info.com,synthetic
7568,Comfort Hotel 1000,Hotel,"29, Central Street, FC Road, Pune - 411028",8057728477,comforthotel100093@info.com,synthetic
16398,Hotel Hotel 989,Hotel,"374, Station Road, Nagar Road, Pune - 411014",,,synthetic
17525,Galaxy Hotel 1801,Hotel,"747, Station Road, Deccan Gymkhana, Pune - 411028",9771240414,,synthetic
1347,Blue Delights 45,Restaurant,"160, Station Road, Ambegaon, Pune - 411014",7650460700,bluedelights4584@outlook.com,synthetic
13125,Grand Table 45,Restaurant,"706, Station Road, Hadapsar, Pune - 411001",7257490275,grandtable4544@business.com,synthetic
12674,The Hotel 1670,Hotel,"619, MG Road, Baner, Pune - 411018",9615148863,,synthetic
15456,Citi Hotel 1967,Hotel,"443, Central Street, Viman Nagar, Pune - 411018",6126593661,,synthetic
14002,Metro Lodge 1794,Lodge,"310, Main Rd, Bopodi, Pune - 411018",8797968638,metrolodge179489@outlook.com,synthetic
18622,Green Hotel 963,Hotel,"322, Lane No. 9, Baner, Pune - 411014",7958184778,greenhotel96387@outlook.com,synthetic
2120,Saffron Delights 181,Restaurant,"492, Station Road, Hadapsar, Pune - 411001",,,synthetic
15305,Royal Fusion 183,Restaurant,"358, Lane No. 15, Wagholi, Pune - 411004",6592735182,,synthetic
4310,Sunrise Street 182,Restaurant,"647, Lane No. 2, Hinjewadi, Pune - 411045",7530421431,,synthetic
4485,Comfort Delights 3,Restaurant,"460, Central Street, Nagar Road, Pune - 411029",9032586637,comfortdelights311@info.com,synthetic
11014,Lotus Garden 194,Restaurant,"370, Central Street, Chinchwad, Pune - 411001",6567713203,lotusgarden19453@business.com,synthetic
4771,City Hotel 1990,Hotel,"647, Market Lane, Wakad, Pune - 411014",8928406453,cityhotel199040@outlook.com,synthetic
2713,Saffron Bistro 165,Restaurant,"575, Central Street, Kharadi, Pune - 411028",6996451159,,synthetic
12187,Lotus Corner 148,Restaurant,"809, Central Street, Kothrud, Pune - 411045",9830809813,lotuscorner14865@outlook.com,synthetic
16616,Royal Hotel 1766,Hotel,"883, MG Road, Wagholi, Pune - 411018",6526649470,royalhotel176631@gmail.com,synthetic
10948,Urban Hotel 1474,Hotel,"716, Central Street, NIBM Road, Pune - 411014",9094578917,urbanhotel147496@yahoo.com,synthetic
2546,Hotel Hotel 198,Hotel,"133, MG Road, Camp, Pune - 411029",8435097913,hotelhotel19898@yahoo.com,synthetic
12620,Galaxy Chow 112,Restaurant,"331, Main Rd, Wakad, Pune - 411029",7494907000,galaxychow11297@yahoo.com,synthetic
9852,Saffron Express 99,Restaurant,"934, MG Road, Pashan, Pune - 411001",8289751299,,synthetic
4411,Sunrise Room 162,Restaurant,"8, Lane No. 7, Chinchwad, Pune - 411045",8013279685,sunriseroom16273@info.com,synthetic
19648,Hotel Express 168,Restaurant,"998, Lane No. 5, Bibwewadi, Pune - 411018",7469062783,hotelexpress16825@info.com,synthetic
12345,Lotus Hotel 672,Hotel,"246, MG Road, Viman Nagar, Pune - 411004",8675691292,,synthetic
12408,Lotus Hotel 1367,Hotel,"264, Lane No. 1, NIBM Road, Pune - 411004",9926061905,lotushotel136791@info.com,synthetic
9611,Saffron Hotel 1758,Hotel,"868, MG Road, Wakad, Pune - 411028",6943074881,saffronhotel175869@gmail.com,synthetic
10719,City Hotel 864,Hotel,"215, Lane No. 4, Undri, Pune - 411029",7425522827,cityhotel86434@outlook.com,synthetic
7572,Urban Hotel 3,Hotel,"403, Lane No. 17, Pashan, Pune - 411045",7533767279,,synthetic
3571,Blue Hotel 985,Hotel,"965, MG Road, Narhe, Pune - 411029",8371059602,bluehotel98589@business.com,synthetic
8603,Comfort Kitchen 85,Restaurant,"439, Central Street, Camp, Pune - 411045",7859506620,comfortkitchen8591@gmail.com,synthetic
3560,Lotus Lodge 1088,Lodge,"631, Main Rd, Wakad, Pune - 411001",8703877464,lotuslodge108885@outlook.com,synthetic
4992,Phoenix Room 119,Restaurant,"558, Main Rd, Kalyani Nagar, Pune - 411028",6826931324,,synthetic
7440,City House 173,Restaurant,"638, MG Road, Sinhagad Road, Pune - 411014",6678722977,,synthetic
9326,Elite Lodge 790,Lodge,"152, Market Lane, Narhe, Pune - 411001",6227226387,elitelodge79054@info.com,synthetic
2301,Grand Hotel 188,Hotel,"928, Lane No. 9, Bopodi, Pune - 411014",7267088050,grandhotel18816@yahoo.com,synthetic
7667,Hotel Hotel 924,Hotel,"933, Market Lane, Pimple Saudagar, Pune - 411014",9123949953,hotelhotel92423@outlook.com,synthetic
5805,Lotus Chow 290,Restaurant,"240, Market Lane, Chinchwad, Pune - 411028",9662595821,,synthetic
12023,Ommart Hotel 419,Hotel,"975, Central Street, Wakad, Pune - 411004",8362381538,ommarthotel4196@info.com,synthetic
15538,The Garden 282,Restaurant,"851, Lane No. 12, Wagholi, Pune - 411001",7015259803,thegarden28232@yahoo.com,synthetic
9758,Comfort Cafe 289,Restaurant,"932, Lane No. 19, FC Road, Pune - 411014",8073718470,comfortcafe28917@yahoo.com,synthetic
12015,Galaxy Kitchen 35,Restaurant,"653, Main Rd, Model Colony, Pune - 411014",8528297826,galaxykitchen3590@gmail.com,synthetic
5212,Metro Hotel 1539,Hotel,"982, MG Road, Hadapsar, Pune - 411029",,,synthetic
11549,Green Hotel 98,Hotel,"426, MG Road, Sinhagad Road, Pune - 411018",6757436678,greenhotel9894@yahoo.com,synthetic
12367,Palace Cafe 285,Restaurant,"353, Lane No. 2, Narhe, Pune - 411029",9332476525,palacecafe2858@yahoo.com,synthetic
9271,Urban Hotel 905,Hotel,"745, Station Road, Shivaji Nagar, Pune - 411018",6873357400,urbanhotel90564@gmail.com,synthetic
3976,Lotus House 85,Restaurant,"765, Main Rd, NIBM Road, Pune - 411014",7936407620,,synthetic
16091,The Fusion 8,Restaurant,"347, Lane No. 14, Bibwewadi, Pune - 411029",6748223617,thefusion820@business.com,synthetic
17233,Citi Hotel 1940,Hotel,"945, Central Street, Sinhagad Road, Pune - 411045",8511004109,,synthetic
17444,Comfort Hotel 1162,Hotel,"646, Central Street, Undri, Pune - 411014",7126658285,comforthotel116276@info.com,synthetic
13657,Hotel Hotel 199,Hotel,"221, Central Street, Kondhwa, Pune - 411018",,hotelhotel19930@outlook.com,synthetic
15646,The Hotel 1726,Hotel,"103, Station Road, NIBM Road, Pune - 411004",7212604949,,synthetic
2731,Comfort Lodge 1514,Lodge,"588, Central Street, Nagar Road, Pune - 411045",9733358136,comfortlodge151498@yahoo.com,synthetic
3299,Blue Express 94,Restaurant,"900, Central Street, Wagholi, Pune - 411029",6569178154,,synthetic
8957,Saffron Hotel 29,Hotel,"726, MG Road, Camp, Pune - 411014",8712800920,saffronhotel2975@yahoo.com,synthetic
17411,Galaxy Hotel 476,Hotel,"347, Station Road, Deccan Gymkhana, Pune - 411001",8215201502,galaxyhotel4766@yahoo.com,synthetic
15156,Elite Corner 235,Restaurant,"424, Lane No. 19, Wagholi, Pune - 411018",8935485984,elitecorner23545@business.com,synthetic
17277,Elite Chow 296,Restaurant,"139, Main Rd, Bopodi, Pune - 411004",8538907499,elitechow29645@yahoo.com,synthetic
6704,Lotus Treat 117,Restaurant,"551, Station Road, Aundh, Pune - 411029",6464196177,lotustreat11719@gmail.com,synthetic
1969,Saffron Hotel 574,Hotel,"15, Market Lane, Bibwewadi, Pune - 411045",8809997024,saffronhotel57439@yahoo.com,synthetic
4937,Lotus Lodge 776,Lodge,"163, MG Road, NIBM Road, Pune - 411001",9196323625,lotuslodge77668@info.com,synthetic
2113,Ommart Hotel 1927,Hotel,"395, Station Road, Hadapsar, Pune - 411045",9829127898,ommarthotel192784@yahoo.com,synthetic
879,The Lodge 1066,Lodge,"370, Station Road, Sinhagad Road, Pune - 411029",9627153123,thelodge106644@outlook.com,synthetic
19076,Saffron Hotel 1995,Hotel,"484, Station Road, Magarpatta, Pune - 411014",9517866600,saffronhotel19955@info.com,synthetic
12990,Urban Hotel 355,Hotel,"631, Market Lane, Deccan Gymkhana, Pune - 411018",6016009889,urbanhotel35536@outlook.com,synthetic
7278,Citi Chow 254,Restaurant,"949, MG Road, Narhe, Pune - 411014",7879905779,,synthetic
5710,Urban Hotel 303,Hotel,"71, Lane No. 14, Deccan Gymkhana, Pune - 411018",8857773813,,synthetic
12079,Metro Hotel 758,Hotel,"265, MG Road, Camp, Pune - 411045",7711400526,metrohotel75844@yahoo.com,synthetic
6688,Grand Hotel 1396,Hotel,"966, Station Road, Erandwane, Pune - 411018",7072466338,,synthetic
6419,Metro Fusion 159,Restaurant,"575, Central Street, Baner, Pune - 411045",6318243834,metrofusion15933@yahoo.com,synthetic
10432,Palace Treat 82,Restaurant,"340, Main Rd, Pimple Saudagar, Pune - 411045",8466026146,palacetreat8283@gmail.com,synthetic
9983,The Hotel 1100,Hotel,"577, Station Road, FC Road, Pune - 411028",8970284322,,synthetic
19074,Grand Spice 110,Restaurant,"675, Station Road, Wagholi, Pune - 411018",9274975296,,synthetic
4630,Galaxy Hotel 783,Hotel,"833, Lane No. 3, Pashan, Pune - 411029",9076237855,galaxyhotel78315@yahoo.com,synthetic
8863,Saffron Hotel 1279,Hotel,"938, Central Street, Undri, Pune - 411028",8640674418,saffronhotel127953@info.com,synthetic
4668,Urban Hotel 65,Hotel,"296, Lane No. 13, Kharadi, Pune - 411045",7506665407,urbanhotel6531@info.com,synthetic
14164,Citi Kitchen 188,Restaurant,"229, Main Rd, Pashan, Pune - 411004",9820993905,citikitchen18896@business.com,synthetic
386,Comfort Hotel 1455,Hotel,"444, Central Street, Wagholi, Pune - 411001",8745644948,comforthotel145522@outlook.com,synthetic
4187,Green Hotel 17,Hotel,"967, MG Road, Talawade, Pune - 411018",6348615658,greenhotel1761@business.com,synthetic
5346,Grand Hotel 629,Hotel,"571, Main Rd, FC Road, Pune - 411001",,grandhotel62961@yahoo.com,synthetic
2196,Comfort Hotel 1580,Hotel,"939, Station Road, Chinchwad, Pune - 411001",8351424496,comforthotel158032@business.com,synthetic
14991,Elite Hotel 1797,Hotel,"314, Market Lane, Ambegaon, Pune - 411001",9204179728,elitehotel179722@yahoo.com,synthetic
12635,Hotel Spice 40,Restaurant,"417, Lane No. 6, FC Road, Pune - 411018",7673692628,hotelspice4060@business.com,synthetic
1078,Hotel Express 174,Restaurant,"200, Lane No. 7, Aundh, Pune - 411001",9049832112,,synthetic
6287,Grand Hotel 1545,Hotel,"527, Central Street, Chinchwad, Pune - 411018",9317058953,grandhotel154597@outlook.com,synthetic
5934,City Dine 111,Restaurant,"182, Lane No. 5, Kharadi, Pune - 411018",6469671603,,synthetic
18513,Ommart Hotel 1291,Hotel,"349, Station Road, Pimple Saudagar, Pune - 411045",,,synthetic
19718,Palace Fusion 197,Restaurant,"918, Central Street, Ambegaon, Pune - 411029",9116100394,palacefusion19745@business.com,synthetic
13364,Sunrise Lodge 1402,Lodge,"905, Market Lane, Pashan, Pune - 411001",6649516212,sunriselodge140293@info.com,synthetic
8073,Galaxy Chow 249,Restaurant,"941, Lane No. 14, Wakad, Pune - 411029",9684979148,galaxychow24913@yahoo.com,synthetic
17021,The Fusion 137,Restaurant,"662, Central Street, Talawade, Pune - 411014",,,synthetic
9544,Green Hotel 1701,Hotel,"303, Central Street, Bavdhan, Pune - 411028",6431629447,,synthetic
19095,Comfort Spice 69,Restaurant,"34, Station Road, Baner, Pune - 411028",8702986097,comfortspice6934@info.com,synthetic
13356,Lotus Hotel 1467,Hotel,"965, Lane No. 17, Model Colony, Pune - 411045",8308736624,lotushotel146749@outlook.com,synthetic
18632,Ommart Delights 278,Restaurant,"20, Main Rd, Sinhagad Road, Pune - 411029",9502560342,,synthetic
2849,Comfort Hotel 786,Hotel,"574, Lane No. 7, FC Road, Pune - 411001",8604858965,comforthotel78671@gmail.com,synthetic
12792,City Delights 149,Restaurant,"826, MG Road, Kondhwa, Pune - 411029",6550111556,citydelights14937@info.com,synthetic
7723,Phoenix Treat 26,Restaurant,"363, Lane No. 6, Viman Nagar, Pune - 411014",8974624999,phoenixtreat2627@business.com,synthetic
813,Saffron Kitchen 181,Restaurant,"199, MG Road, Bavdhan, Pune - 411014",9284008385,saffronkitchen18152@outlook.com,synthetic
11194,Green Kitchen 92,Restaurant,"37, MG Road, Camp, Pune - 411004",6835078591,,synthetic
5136,Ommart Hotel 213,Hotel,"173, Station Road, Undri, Pune - 411045",9465346192,ommarthotel2135@gmail.com,synthetic
8511,Galaxy Street 101,Restaurant,"212, Station Road, NIBM Road, Pune - 411001",8381980077,,synthetic
7435,Palace Lodge 1270,Lodge,"930, Central Street, Koregaon Park, Pune - 411045",7379489699,palacelodge127041@info.com,synthetic
16477,Metro Hotel 685,Hotel,"284, Station Road, Camp, Pune - 411018",9289422764,metrohotel68573@business.com,synthetic
937,Palace Lodge 873,Lodge,"423, Market Lane, Viman Nagar, Pune - 411014",9554203403,palacelodge8733@business.com,synthetic
11966,Palace Platter 242,Restaurant,"589, Station Road, Pimple Saudagar, Pune - 411018",,palaceplatter24265@gmail.com,synthetic
1693,Comfort Lodge 382,Lodge,"148, Station Road, Nagar Road, Pune - 411045",9320877834,comfortlodge38211@gmail.com,synthetic
6217,City Hotel 199,Hotel,"737, Station Road, Kothrud, Pune - 411028",7943529230,,synthetic
9460,Lotus Hotel 1288,Hotel,"475, Central Street, Chinchwad, Pune - 411018",9215971878,,synthetic
12528,Citi Garden 144,Restaurant,"938, Main Rd, Magarpatta, Pune - 411029",8887265673,citigarden14477@outlook.com,synthetic
15485,Blue Hotel 103,Hotel,"190, Central Street, Camp, Pune - 411018",6080339164,,synthetic
5793,Phoenix Corner 250,Restaurant,"944, Central Street, Shivaji Nagar, Pune - 411014",8261941123,phoenixcorner25033@business.com,synthetic
12267,Lotus Spice 30,Restaurant,"311, Station Road, Baner, Pune - 411029",9687328598,,synthetic
2222,City Fusion 279,Restaurant,"553, Central Street, Kothrud, Pune - 411001",6709903172,cityfusion27910@yahoo.com,synthetic
15758,Lotus Tadka 236,Restaurant,"601, Lane No. 18, Kondhwa, Pune - 411004",9659974946,lotustadka23654@business.com,synthetic
4694,Blue Hotel 1594,Hotel,"858, Lane No. 17, Shivaji Nagar, Pune - 411028",7954486348,bluehotel159466@yahoo.com,synthetic
10109,Lotus Bistro 251,Restaurant,"682, MG Road, Kalyani Nagar, Pune - 411014",7539670551,lotusbistro2515@yahoo.com,synthetic
5108,Palace Hotel 1364,Hotel,"492, MG Road, Wagholi, Pune - 411028",9591279728,palacehotel136433@info.com,synthetic
13481,The Taste 165,Restaurant,"268, Lane No. 13, Shivaji Nagar, Pune - 411004",8508789149,thetaste1656@yahoo.com,synthetic
4746,Lotus Hotel 1080,Hotel,"417, MG Road, Kondhwa, Pune - 411001",8137587807,lotushotel108057@info.com,synthetic
1605,Comfort Hotel 1888,Hotel,"715, Market Lane, Baner, Pune - 411018",6904470856,comforthotel188896@outlook.com,synthetic
17396,Galaxy Bistro 242,Restaurant,"47, Station Road, Baner, Pune - 411029",8288198232,,synthetic
16864,Blue Lodge 1763,Lodge,"254, MG Road, Wakad, Pune - 411004",6868252204,bluelodge176374@business.com,synthetic
8214,Galaxy Fusion 208,Restaurant,"642, MG Road, FC Road, Pune - 411029",7769209634,galaxyfusion20822@info.com,synthetic
1093,City Hotel 155,Hotel,"199, MG Road, Chinchwad, Pune - 411028",6734785369,cityhotel15569@gmail.com,synthetic
13885,Palace Room 259,Restaurant,"606, Station Road, Viman Nagar, Pune - 411004",9595643031,,synthetic
6312,Comfort Spice 158,Restaurant,"884, Central Street, Dhanori, Pune - 411001",,comfortspice15883@gmail.com,synthetic
9013,Sunrise Hotel 467,Hotel,"252, Main Rd, Pimple Saudagar, Pune - 411001",6959240897,sunrisehotel46732@business.com,synthetic
352,Royal Room 186,Restaurant,"580, Central Street, Nagar Road, Pune - 411045",9589042902,royalroom18689@yahoo.com,synthetic
14783,Royal Hotel 399,Hotel,"91, Main Rd, Shivaji Nagar, Pune - 411014",8907418115,royalhotel39915@gmail.com,synthetic
1531,Grand Grill 253,Restaurant,"999, Market Lane, Bopodi, Pune - 411004",8579671480,grandgrill25399@gmail.com,synthetic
13592,Royal Hotel 169,Hotel,"911, MG Road, Wagholi, Pune - 411014",9893474399,royalhotel16929@business.com,synthetic
15216,Sunrise Chow 161,Restaurant,"838, MG Road, Koregaon Park, Pune - 411004",6148141302,,synthetic
11541,Hotel Room 254,Restaurant,"844, Market Lane, Shivaji Nagar, Pune - 411001",7975287212,,synthetic
219,Citi Lodge 1964,Lodge,"699, Station Road, Deccan Gymkhana, Pune - 411028",6484085887,citilodge196438@yahoo.com,synthetic
6814,The Hotel 444,Hotel,"931, Station Road, Narhe, Pune - 411004",8689553292,thehotel44411@yahoo.com,synthetic
5358,Phoenix Hotel 1131,Hotel,"909, Lane No. 9, Kondhwa, Pune - 411001",8767041510,phoenixhotel113123@outlook.com,synthetic
